T,propensity_score,logit_ps
1,0.5731583724011895,0.2947490212740036
1,0.4679684747947663,-0.12830181339142768
1,0.5719706688445256,0.2898959878504247
1,0.5013078252307666,0.0052313128533190215
1,0.46353323452978207,-0.14612652737481968
1,0.5425758911462316,0.17071697847575765
1,0.49437060137287603,-0.022518546028162806
1,0.49771109360714444,-0.00915568952845168
1,0.4614259940250247,-0.1546032355637117
1,0.42190292465432816,-0.3149665537858837
1,0.4352418202085915,-0.26049585400467334
1,0.5225604272531816,0.09030302470588185
1,0.5907650468057813,0.3671289376325808
1,0.4387591846825417,-0.24619936592171304
1,0.6088002098827795,0.4422717496453947
1,0.5822419266368625,0.331983549753303
1,0.6304317473275742,0.5340694582549248
1,0.5819977526927924,0.3309797775280561
1,0.5999439672904352,0.4052316439345966
1,0.6735307634710429,0.7241979495104544
1,0.6045807085040438,0.42458847460082016
1,0.4514316234834608,-0.19488801448538295
1,0.7554740114447804,1.1280237860489317
1,0.5462292777414414,0.18544675677980177
1,0.49643676980537144,-0.014253162070891168
1,0.49308268010943185,-0.027671045039766643
1,0.6161872068379295,0.4733959086623353
1,0.4433338236938381,-0.22764269723176409
1,0.49094229905794107,-0.0362347678096663
1,0.45160343520655594,-0.19419424462302554
1,0.6288037716250653,0.5270883989959171
1,0.7687489086557622,1.2012603037771066
1,0.5204581589484361,0.08187834828807836
1,0.5828730247415955,0.33457869383128935
1,0.4341595185178092,-0.264900182885751
1,0.5570276020918469,0.22910733272311604
1,0.7284996950129754,0.9870239442703366
1,0.5775816111325809,0.3128534846950162
1,0.5001987741367797,0.0007950965890058572
1,0.5047490567191132,0.018996798150251914
1,0.5388261966646212,0.15561807805395958
1,0.5923625698853561,0.373740768904862
1,0.573324689622892,0.2954288780499039
1,0.4805699371202396,-0.07775940903123583
1,0.4838328241793136,-0.06469125469611622
1,0.5757136274522201,0.30520172830187886
1,0.6350125021932227,0.5537815867804533
1,0.5988915949650878,0.40084887753360343
1,0.48613420283645103,-0.05547741304627069
1,0.7708006990179721,1.2128379083938408
1,0.5522900710423891,0.20992785656991297
1,0.45521575324605673,-0.1796183492472481
1,0.49307073400208185,-0.027718838632536033
1,0.6198137824290785,0.48875790307767125
1,0.44561768900540727,-0.21839315591625386
1,0.5434436955095076,0.17421407312767315
1,0.5958968605848919,0.3883974584193598
1,0.5720119924343148,0.29006478147138065
1,0.46061933860195464,-0.15784958582114456
1,0.4971219686090537,-0.011512252707220151
1,0.47402411372462866,-0.10399717486604967
1,0.5428107562767344,0.17166333881493226
1,0.55058966768706,0.20305347614292754
1,0.5361174257794942,0.14472176762625405
1,0.4708385488340938,-0.11677833452484472
1,0.49033904310691795,-0.03864863769839361
1,0.5230260967721272,0.09216958186833274
1,0.5661946407204296,0.26634195470571914
1,0.5439566181128627,0.1762815568533136
1,0.5200283301141551,0.08015620999122931
1,0.49171571075988196,-0.033140189706410195
1,0.502844575804395,0.011378425978376485
1,0.42416396654219457,-0.30570286201515184
1,0.524563524335978,0.09833325634175187
1,0.5623931848554942,0.2508803975563682
1,0.5628038750695877,0.2525493176735064
1,0.5231948516731001,0.0928460466619015
1,0.6787376883370024,0.7479767726357531
1,0.6503151456768373,0.6204247522500761
1,0.5230845730919313,0.09240398553546011
1,0.5938531513720342,0.3799172785529133
1,0.5711953572883848,0.2867298460785868
1,0.4562631035178878,-0.1753958591653255
1,0.5655580101023499,0.2637504464867496
1,0.6201515922140001,0.49019170547499036
1,0.4355488427574263,-0.25924691262518024
1,0.5438540642079792,0.17586815359721336
1,0.5343752276145343,0.1377181653391404
1,0.46867193898492937,-0.12547661457410036
1,0.5597714307124447,0.24023447328232045
1,0.5179246195067403,0.07172921659469544
1,0.517186901821837,0.06877470293609289
1,0.5573814131852896,0.23054134758671674
1,0.5906679917087445,0.3667275028333706
1,0.5411323071315621,0.1649018915866032
1,0.35345967481181234,-0.6038661661339461
1,0.45939036363469105,-0.1627971449437273
1,0.5455623480196451,0.18275636907358472
1,0.6015198666343852,0.4118019199045833
1,0.5166285952019972,0.0665389196323488
1,0.4495416196546596,-0.2025229093098625
1,0.5035754450232398,0.01430202387536967
1,0.4768293826033147,-0.0927489007160729
1,0.4627248864929699,-0.1493775991340733
1,0.5401969281067107,0.16113546151680544
1,0.4532724682693636,-0.18745714460648316
1,0.4708234105446774,-0.11683909446847085
1,0.48016146769880685,-0.07939581017603353
1,0.5420412680659918,0.16856306377736593
1,0.5138216164592615,0.0553005546506198
1,0.44642300293610365,-0.21513391227947354
1,0.3547173682903247,-0.5983670827942231
1,0.4582709268903993,-0.16730545870383703
1,0.456926291376705,-0.17272296417269883
1,0.5310860854499332,0.12450492706062856
1,0.49972109455272146,-0.0011156219048238153
1,0.5401975037899098,0.1611377792295929
1,0.4932098088415593,-0.027162434542708547
1,0.4679985495977928,-0.12818101889503739
1,0.5290661312422992,0.11639575772120063
1,0.4857701749512811,-0.0569346749616005
1,0.4870073641223146,-0.05198224568415767
1,0.5255895062182555,0.10244753408075731
1,0.640690858927978,0.5783639260912036
1,0.49864752685095404,-0.005409905790490955
1,0.5969758718510944,0.392880265424358
1,0.5597459403701598,0.2401310343498644
